general_health,veg_perweek,feel_left_out,poverty_level,household_tenure,interview_language
VERY GOOD,6,,300% FPL AND ABOVE,OWN,SPANISH
,10,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,3,,100-199% FPL,OWN,SPANISH
,5,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,5,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,5,,100-199% FPL,OWN,SPANISH
VERY GOOD,5,HARDLY EVER,300% FPL AND ABOVE,OWN,SPANISH
GOOD,6,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,12,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,1,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
POOR,9,SOME OF THE TIME,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,7,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,6,,100-199% FPL,OWN,SPANISH
GOOD,3,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,15,,300% FPL AND ABOVE,OWN,SPANISH
VERY GOOD,3,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,16,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,4,,300% FPL AND ABOVE,OWN,SPANISH
FAIR,7,,200-299% FPL,OWN,SPANISH
,11,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,5,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,11,,300% FPL AND ABOVE,OWN,SPANISH
FAIR,13,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,16,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,5,HARDLY EVER,0-99% FPL,OWN,SPANISH
VERY GOOD,6,,300% FPL AND ABOVE,OWN,SPANISH
